Time_s	O2Hb	HHb	Marker
nuid00001	0	191.6338	94.2666	
nuid00002	1	-1.7999	-2.7306	
nuid00003	2	-1.7582	-2.7247	
nuid00004	3	-1.7369	-2.7112	
nuid00005	4	-1.7166	-2.7188	
nuid00006	5	-1.7466	-2.6967	
nuid00007	6	-1.7485	-2.7391	
nuid00008	7	-1.7795	-2.7383	
nuid00009	8	-1.7902	-2.7451	
nuid00010	9	-1.7786	-2.7171	
nuid00011	10	-1.6953	-2.7052	
nuid00012	11	-1.642	-2.6713	
nuid00013	12	-1.6207	-2.6578	
nuid00014	13	-1.6391	-2.6077	
nuid00015	14	-1.6294	-2.6222	
nuid00016	15	-1.6817	-2.6349	
nuid00017	16	-1.6943	-2.684	
nuid00018	17	-1.7147	-2.6764	
nuid00019	18	-1.704	-2.6696	
nuid00020	19	-1.6294	-2.6222	
nuid00021	20	-1.5665	-2.6027	
nuid00022	21	-1.5452	-2.5891	
nuid00023	22	-1.5452	-2.5891	
nuid00024	23	-1.5539	-2.5535	
nuid00025	24	-1.5849	-2.5526	
nuid00026	25	-1.5956	-2.5594	
nuid00027	26	-1.6072	-2.5874	
nuid00028	27	-1.6488	-2.5933	
nuid00029	28	-1.6178	-2.5942	
nuid00030	29	-1.5239	-2.5755	
nuid00031	30	-1.4823	-2.5696	
nuid00032	31	-1.4803	-2.5272	
nuid00033	32	-1.4803	-2.5272	
nuid00034	33	-1.4794	-2.506	
nuid00035	34	-1.4677	-2.4781	
nuid00036	35	-1.4658	-2.4357	
nuid00037	36	-1.4435	-2.4009	
nuid00038	37	-1.4639	-2.3933	
nuid00039	38	-1.3913	-2.3882	
nuid00040	39	-1.3496	-2.3823	
nuid00041	40	-1.3302	-2.4111	
nuid00042	41	-1.3515	-2.4247	
nuid00043	42	-1.3757	-2.5018	
nuid00044	43	-1.4416	-2.5849	
nuid00045	44	-1.4561	-2.6765	
nuid00046	45	-1.4813	-2.7748	
nuid00047	46	-1.5083	-2.9155	
nuid00048	47	-1.5016	-2.9936	
nuid00049	48	-1.4008	-3.0529	
nuid00050	49	-1.4018	-3.0741	
nuid00051	50	-1.4047	-3.1377	
nuid00052	51	-1.4047	-3.1377	
nuid00053	52	-1.4463	-3.1436	
nuid00054	53	-1.488	-3.1496	
nuid00055	54	-1.4899	-3.192	
nuid00056	55	-1.5006	-3.1987	
nuid00057	56	-1.4715	-3.242	
nuid00058	57	-1.4395	-3.2216	
nuid00059	58	-1.3679	-3.2378	
nuid00060	59	-1.3863	-3.1877	
nuid00061	60	-1.364	-3.153	
nuid00062	61	-1.3931	-3.1097	
nuid00063	62	-1.4347	-3.1157	
nuid00064	63	-1.4735	-3.058	
nuid00065	64	-1.5035	-3.0359	
nuid00066	65	-1.5122	-3.0003	
nuid00067	66	-1.4802	-2.98	
nuid00068	67	-1.427	-2.9461	
nuid00069	68	-1.396	-2.9469	
nuid00070	69	-1.426	-2.9249	
nuid00071	70	-1.4163	-2.9393	
nuid00072	71	-1.457	-2.924	
nuid00073	72	-1.4783	-2.9376	
nuid00074	73	-1.5296	-2.9291	
nuid00075	74	-1.519	-2.9223	
nuid00076	75	-1.5364	-2.8511	
nuid00077	76	-1.4716	-2.7892	
nuid00078	77	-1.427	-2.7197	
nuid00079	78	-1.4135	-2.6493	
nuid00080	79	-1.4406	-2.5637	
nuid00081	80	-1.46	-2.5349	
nuid00082	81	-1.5762	-2.5883	
nuid00083	82	-1.6004	-2.6654	
nuid00084	83	-1.6091	-2.6298	
nuid00085	84	-1.5772	-2.6095	
nuid00086	85	-1.5549	-2.5747	
nuid00087	86	-1.4726	-2.584	
nuid00088	87	-1.4619	-2.5773	
nuid00089	88	-1.4648	-2.6408	
nuid00090	89	-1.4987	-2.7036	
nuid00091	90	-1.49	-2.7392	
nuid00092	91	-1.5093	-2.7104	
nuid00093	92	-1.5316	-2.7451	
nuid00094	93	-1.5839	-2.7578	
nuid00095	94	-1.5839	-2.7578	
nuid00096	95	-1.5548	-2.8011	
nuid00097	96	-1.5035	-2.8096	
nuid00098	97	-1.4435	-2.8537	
nuid00099	98	-1.4444	-2.8749	
nuid00100	99	-1.458	-2.9452	
nuid00101	100	-1.4793	-2.9588	
nuid00102	101	-1.5141	-3.0427	
nuid00103	102	-1.549	-3.1267	
nuid00104	103	-1.5829	-3.1894	
nuid00105	104	-1.5955	-3.2386	
nuid00106	105	-1.5654	-3.2606	
nuid00107	106	-1.5228	-3.2335	
nuid00108	107	-1.4938	-3.2767	
nuid00109	108	-1.5044	-3.2835	
nuid00110	109	-1.5054	-3.3047	
nuid00111	110	-1.548	-3.3318	
nuid00112	111	-1.5625	-3.4234	
nuid00113	112	-1.6167	-3.4785	
nuid00114	113	-1.6283	-3.5065	
nuid00115	114	-1.6487	-3.4989	
nuid00116	115	-1.607	-3.4929	
nuid00117	116	-1.576	-3.4938	
nuid00118	117	-1.5325	-3.4455	
nuid00119	118	-1.5577	-3.3174	
nuid00120	119	-1.5732	-3.2038	
nuid00121	120	-1.6013	-3.1394	
nuid00122	121	-1.611	-3.1249	
nuid00123	122	-1.64	-3.0817	
nuid00124	123	-1.64	-3.0817	
nuid00125	124	-1.6797	-3.0452	
nuid00126	125	-1.6294	-3.0749	
nuid00127	126	-1.5751	-3.0198	
nuid00128	127	-1.5732	-2.9774	
nuid00129	128	-1.5916	-2.9274	
nuid00130	129	-1.5916	-2.9274	
nuid00131	130	-1.6342	-2.9545	
nuid00132	131	-1.6672	-2.9961	
nuid00133	132	-1.6681	-3.0173	
nuid00134	133	-1.6584	-3.0317	
nuid00135	134	-1.6797	-3.0452	
nuid00136	135	-1.6284	-3.0537	
nuid00137	136	-1.5664	-3.0554	
nuid00138	137	-1.5461	-3.0631	
nuid00139	138	-1.5868	-3.0478	
nuid00140	139	-1.5877	-3.069	
nuid00141	140	-1.6294	-3.0749	
nuid00142	141	-1.6739	-3.1444	
nuid00143	142	-1.7165	-3.1716	
nuid00144	143	-1.7068	-3.186	
nuid00145	144	-1.6952	-3.158	
nuid00146	145	-1.6342	-3.1809	
nuid00147	146	-1.6235	-3.1741	
nuid00148	147	-1.6255	-3.2165	
nuid00149	148	-1.6468	-3.2301	
nuid00150	149	-1.6787	-3.2504	
nuid00151	150	-1.7117	-3.292	
nuid00152	151	-1.7543	-3.3191	
nuid00153	152	-1.7649	-3.3259	
nuid00154	153	-1.7436	-3.3123	
nuid00155	154	-1.7514	-3.2555	
nuid00156	155	-1.669	-3.2648	
nuid00157	156	-1.6681	-3.2436	
nuid00158	157	-1.669	-3.2648	
nuid00159	158	-1.7213	-3.2775	
nuid00160	159	-1.7223	-3.2987	
nuid00161	160	-1.7417	-3.2699	
nuid00162	161	-1.7504	-3.2343	
nuid00163	162	-1.7475	-3.1707	
nuid00164	163	-1.7756	-3.1063	
nuid00165	164	-1.7408	-3.0223	
nuid00166	165	-1.6652	-2.9537	
nuid00167	166	-1.6507	-2.8621	
nuid00168	167	-1.6478	-2.7985	
nuid00169	168	-1.6972	-2.7476	
nuid00170	169	-1.6972	-2.7476	
nuid00171	170	-1.705	-2.6908	
nuid00172	171	-1.6846	-2.6985	
nuid00173	172	-1.7253	-2.6832	
nuid00174	173	-1.7282	-2.7468	
nuid00175	174	-1.7301	-2.7892	
nuid00176	175	-1.6711	-2.8545	
nuid00177	176	-1.6846	-2.9248	
nuid00178	177	-1.701	-3.0588	
nuid00179	178	-1.7485	-3.1919	
nuid00180	179	-1.7678	-3.3895	
nuid00181	180	-1.8269	-3.5505	
nuid00182	181	-1.8443	-3.7057	
nuid00183	182	-1.8772	-3.7472	
nuid00184	183	-1.8462	-3.7481	
nuid00185	184	-1.8414	-3.6421	
nuid00186	185	-1.7717	-3.4742	
nuid00187	186	-1.7659	-3.3471	
nuid00188	187	-1.7833	-3.2758	
nuid00189	188	-1.7901	-3.1978	
nuid00190	189	-1.8085	-3.1478	
nuid00191	190	-1.8473	-3.0901	
nuid00192	191	-1.857	-3.0757	
nuid00193	192	-1.887	-3.0537	
nuid00194	193	-1.8783	-3.0893	
nuid00195	194	-1.8879	-3.0749	
nuid00196	195	-1.8163	-3.091	
nuid00197	196	-1.7959	-3.0986	
nuid00198	197	-1.8279	-3.119	
nuid00199	198	-1.8598	-3.1393	
nuid00200	199	-1.8618	-3.1817	
nuid00201	200	-1.9054	-3.23	
nuid00202	201	-1.9189	-3.3004	
nuid00203	202	-1.9499	-3.2995	
nuid00204	203	-1.9199	-3.3216	
nuid00205	204	-1.8666	-3.2877	
nuid00206	205	-1.8346	-3.2673	
nuid00207	206	-1.8763	-3.2733	
nuid00208	207	-1.8685	-3.3301	
nuid00209	208	-1.9005	-3.3504	
nuid00210	209	-1.9034	-3.414	
nuid00211	210	-1.915	-3.442	
nuid00212	211	-1.9373	-3.4767	
nuid00213	212	-1.9373	-3.4767	
nuid00214	213	-1.946	-3.4411	
nuid00215	214	-1.9024	-3.3928	
nuid00216	215	-1.8279	-3.3453	
nuid00217	216	-1.825	-3.2818	
nuid00218	217	-1.8453	-3.2741	
nuid00219	218	-1.8656	-3.2665	
nuid00220	219	-1.8976	-3.2868	
nuid00221	220	-1.9179	-3.2792	
nuid00222	221	-1.9208	-3.3428	
nuid00223	222	-1.9731	-3.3555	
nuid00224	223	-1.9547	-3.4055	
nuid00225	224	-1.9334	-3.392	
nuid00226	225	-1.8947	-3.4496	
nuid00227	226	-1.8956	-3.4708	
nuid00228	227	-1.9499	-3.5259	
nuid00229	228	-1.9934	-3.5742	
nuid00230	229	-2.0283	-3.6582	
nuid00231	230	-2.1028	-3.7056	
nuid00232	231	-2.1261	-3.7616	
nuid00233	232	-2.1774	-3.7531	
nuid00234	233	-2.1871	-3.7387	
nuid00235	234	-2.1513	-3.6336	
nuid00236	235	-2.0583	-3.4097	
nuid00237	236	-2.0477	-3.1766	
nuid00238	237	-2.0507	-3.0138	
nuid00239	238	-2.0855	-2.8713	
nuid00240	239	-2.1156	-2.8493	
nuid00241	240	-2.1766	-2.8264	
nuid00242	241	-2.1988	-2.8611	
nuid00243	242	-2.2298	-2.8603	
nuid00244	243	-2.2095	-2.8679	
